"File","Line","Column","Level","Text","Context","Fix"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","86","43","ERROR","","return Results.BadRequest(new ErrorResponse(string.Format(loc.T(""ERR_ACTIVATE_FAILED"", lang), err), res.Errors.ToDictionary(e => e.Code, e => new[] { e.Description })));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","112","24","ERROR","","return Results.BadRequest(new ErrorResponse(loc.T(""ERR_USERNAME_REQUIRED"", lang), ""INVALID_REQUEST""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","112","47","ERROR","","return Results.BadRequest(new ErrorResponse(loc.T(""ERR_USERNAME_REQUIRED"", lang), ""INVALID_REQUEST""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","119","41","ERROR","","return Results.Json(new ErrorResponse(loc.T(""ERR_INVALID_CREDENTIALS"", lang), ""AUTH_FAILED""), statusCode: 401);","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","128","24","ERROR","","return Results.BadRequest(new ErrorResponse(loc.T(""ERR_EMAIL_NOT_CONFIRMED"", lang), ""EMAIL_NOT_CONFIRMED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","128","47","ERROR","","return Results.BadRequest(new ErrorResponse(loc.T(""ERR_EMAIL_NOT_CONFIRMED"", lang), ""EMAIL_NOT_CONFIRMED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","135","41","ERROR","","return Results.Json(new ErrorResponse(loc.T(""ERR_INVALID_CREDENTIALS"", lang), ""AUTH_FAILED""), statusCode: 401);","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","187","41","ERROR","","return Results.Json(new ErrorResponse(loc.T(""ERR_REFRESH_TOKEN_INVALID"", lang), ""AUTH_FAILED""), statusCode: 401);","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","194","41","ERROR","","return Results.Json(new ErrorResponse(loc.T(""ERR_ACCOUNT_NOT_FOUND"", lang), ""AUTH_FAILED""), statusCode: 401);","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","231","20","ERROR","","return Results.Ok(new SuccessResponse(loc.T(""MSG_LOGOUT_SUCCESS"", lang)));","I18n.T(""MSG_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","321","24","ERROR","","return Results.NotFound(new ErrorResponse(loc.T(""ERR_ACCOUNT_NOT_FOUND"", lang), ""USER_NOT_FOUND""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","321","45","ERROR","","return Results.NotFound(new ErrorResponse(loc.T(""ERR_ACCOUNT_NOT_FOUND"", lang), ""USER_NOT_FOUND""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\AuthEndpoints.cs","336","20","ERROR","","return Results.Ok(new SuccessResponse(loc.T(""MSG_PASSWORD_CHANGED"", lang)));","I18n.T(""MSG_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\CustomerEndpoints.cs","276","20","ERROR","权限设置成功","return Results.Ok(ApiResponseExtensions.SuccessResponse(""权限设置成功""));","I18n.T(""MSG_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\DataSetEndpoints.cs","34","24","ERROR","","return Results.NotFound(new { message = $""DataSet {id} not found"" });","I18n.T(""MSG_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\DataSetEndpoints.cs","47","24","ERROR","","return Results.NotFound(new { message = $""DataSet '{code}' not found"" });","I18n.T(""MSG_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\DynamicEntityEndpoints.cs","80","28","ERROR","","return Results.NotFound(new { error = $""Entity with ID {id} not found"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\DynamicEntityEndpoints.cs","204","28","ERROR","","return Results.NotFound(new { error = $""Entity with ID {id} not found"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\DynamicEntityEndpoints.cs","236","28","ERROR","","return Results.NotFound(new { error = $""Entity with ID {id} not found"" });","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityAggregateEndpoints.cs","29","24","ERROR","","return Results.NotFound(new { message = $""实体定义 {id} 不存在"" });","I18n.T(""MSG_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityAggregateEndpoints.cs","103","28","ERROR","验证通过","return Results.Ok(new { isValid = true, message = ""验证通过"" });","I18n.T(""MSG_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","94","24","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","94","45","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
